ABN,ABN Status,DGR Status Date,State,PostCode,Entity Name,Item,ItemType
83455494534,Active,2017-03-29,???,????,Solmaid Community School,Item 1,Endorsed DGR
45422124291,Active,2001-07-01,ACT,2600,ALFRED DEAKIN HIGH SCHOOL,Items 1 & 4,Endorsed DGR
67575837755,Active,2000-07-01,ACT,2600,ANZAC MEMORIAL CHAPEL OF ST PAUL TRUSTEES,Item 1,Endorsed DGR
57132053420,Active,2008-07-04,ACT,2600,Aspen Foundation Limited,Item 1,Endorsed DGR
47125036857,Active,2008-01-31,ACT,2600,AUSTRALIAN BLINDNESS FORUM,Item 1,Endorsed DGR
48154924642,Active,2016-12-20,ACT,2600,Australian College of Nursing Ltd,Item 1,Endorsed DGR
54645667467,Active,2017-02-01,ACT,2600,AUSTRALIAN COUNCIL FOR INTERNATIONAL DEVELOPMENT INCORPORATED,Item 1,Endorsed DGR
18317667045,Active,2004-08-12,ACT,2600,AUSTRALIAN FEDERAL POLICE LEGACY INC,Item 1,Endorsed DGR
49008528470,Active,2012-10-01,ACT,2600,AUSTRALIAN HEALTHCARE AND HOSPITALS ASSOCIATION,Item 1,Endorsed DGR
84131668936,Active,2008-07-01,ACT,2600,Australian Indigenous Doctors' Association Ltd,Item 1,Endorsed DGR
34000045170,Active,2000-07-01,ACT,2600,AUSTRALIAN INSTITUTE OF INTERNATIONAL AFFAIRS,Item 1,Listed by name DGR
40090953236,Active,2003-10-01,ACT,2600,AUSTRALIAN LIBRARY AND INFORMATION ASSOCIATION LTD,Item 1,Endorsed DGR
80056874787,Active,2006-07-01,ACT,2600,AUSTRALIAN RURAL LEADERSHIP FOUNDATION LIMITED,Item 1,Endorsed DGR
68138284081,Active,2009-09-01,ACT,2600,Big Bang Ballers Limited,Item 1,Endorsed DGR
30711956177,Active,2015-09-22,ACT,2600,Boundless Canberra Incorporated,Item 1,Endorsed DGR
95252260215,Active,2001-03-12,ACT,2600,CANBERRA SURF AND LAKE CLUB,Item 1,Endorsed DGR
12231938308,Active,2000-07-01,ACT,2600,CARERS AUSTRALIA LIMITED,Item 1,Endorsed DGR
82146988927,Active,2010-10-22,ACT,2600,Consumers Health Forum of Australia Ltd,Item 1,Endorsed DGR
35118911541,Active,2006-04-21,ACT,2600,COTA AUSTRALIA LTD,Item 1,Endorsed DGR
79625582771,Active,2000-07-01,ACT,2600,DEMENTIA AUSTRALIA LIMITED,Item 1,Endorsed DGR
79081407534,Active,2000-07-01,ACT,2600,DEMENTIA AUSTRALIA RESEARCH FOUNDATION LTD,Item 1,Endorsed DGR
26653640096,Active,2000-07-01,ACT,2600,FOCUS ACT INC.,Item 1,Endorsed DGR
44136803293,Active,2009-04-28,ACT,2600,FOCUS SUPPORTED LIVING FOUNDATION LIMITED,Item 1,Endorsed DGR
91096854385,Active,2003-06-05,ACT,2600,FOUNDATION FOR ALCOHOL RESEARCH AND EDUCATION LIMITED,Item 1,Listed by name DGR
64603362319,Active,2000-07-01,ACT,2600,GIRL GUIDES ASSN NSW ACT REGION,Item 1,Endorsed DGR
82049056234,Active,2000-07-01,ACT,2600,Health Directorate,Item 1,Endorsed DGR
42680384985,Active,2009-06-15,ACT,2600,Indigenous Allied Health Australia,Item 1,Endorsed DGR
25008453469,Active,2000-07-01,ACT,2600,JOHN JAMES MEMORIAL FOUNDATION LTD,Item 1,Endorsed DGR
88061551715,Active,2000-07-01,ACT,2600,KARRALIKA PROGRAMS INCORPORATED,Item 1,Endorsed DGR
57600066635,Active,2014-07-01,ACT,2600,MENTAL HEALTH AUSTRALIA LTD,Item 1,Endorsed DGR
21722678690,Active,2011-10-06,ACT,2600,Mercy Association for the underprivileged Incorporated,Item 1,Endorsed DGR
36889228992,Active,2000-07-01,ACT,2600,NATIONAL ARCHIVES OF AUSTRALIA,Items 1 & 4,Endorsed DGR
52008445485,Active,2000-07-01,ACT,2600,NATIONAL DISABILITY SERVICES LIMITED,Item 1,Endorsed DGR
27855975449,Active,2000-07-01,ACT,2600,NATIONAL GALLERY OF AUSTRALIA,Items 1 & 4,Endorsed DGR
28346858075,Active,2000-07-01,ACT,2600,NATIONAL LIBRARY OF AUSTRALIA,Items 1 & 4,Endorsed DGR
